Input graph file parsed. # of vertices = 79, # of edges = 118
s 2 6 9 11 14 4 16 21 24 26 29 19 31 36 39 41 44 34 46 51 54 56 59 49 61 66 69 71 74 64 76 79
Solution space ZDD construction start
Solution space ZDD construction end
Solution space ZDD construction time = 0.007082
Solution space ZDD size = 316
# of elements in the solution space = 687998789526551
Start searching the longest reconfiguration sequence
Step 1 time = 0.000266, # ZDD nodes = 64, # elems = 6
Step 2 time = 0.000114, # ZDD nodes = 88, # elems = 15
Step 3 time = 0.000120, # ZDD nodes = 105, # elems = 22
Step 4 time = 0.000134, # ZDD nodes = 116, # elems = 25
Step 5 time = 0.000149, # ZDD nodes = 119, # elems = 27
Step 6 time = 0.000310, # ZDD nodes = 115, # elems = 26
Step 7 time = 0.000213, # ZDD nodes = 120, # elems = 20
Step 8 time = 0.000172, # ZDD nodes = 113, # elems = 13
Step 9 time = 0.000150, # ZDD nodes = 102, # elems = 9
Step 10 time = 0.000120, # ZDD nodes = 94, # elems = 8
Step 11 time = 0.000167, # ZDD nodes = 96, # elems = 8
Step 12 time = 0.000117, # ZDD nodes = 99, # elems = 8
Step 13 time = 0.000103, # ZDD nodes = 101, # elems = 9
Step 14 time = 0.000148, # ZDD nodes = 102, # elems = 12
Step 15 time = 0.000119, # ZDD nodes = 99, # elems = 17
Step 16 time = 0.000122, # ZDD nodes = 113, # elems = 28
Step 17 time = 0.000166, # ZDD nodes = 129, # elems = 48
Step 18 time = 0.000190, # ZDD nodes = 149, # elems = 68
Step 19 time = 0.000217, # ZDD nodes = 160, # elems = 75
Step 20 time = 0.000223, # ZDD nodes = 160, # elems = 65
Step 21 time = 0.000197, # ZDD nodes = 149, # elems = 44
Step 22 time = 0.000178, # ZDD nodes = 127, # elems = 23
Step 23 time = 0.000116, # ZDD nodes = 101, # elems = 10
Step 24 time = 0.000118, # ZDD nodes = 85, # elems = 5
Step 25 time = 0.000109, # ZDD nodes = 81, # elems = 4
Step 26 time = 0.000108, # ZDD nodes = 83, # elems = 4
Step 27 time = 0.000164, # ZDD nodes = 83, # elems = 5
Step 28 time = 0.000098, # ZDD nodes = 84, # elems = 7
Step 29 time = 0.000162, # ZDD nodes = 90, # elems = 9
Step 30 time = 0.000100, # ZDD nodes = 93, # elems = 13
Step 31 time = 0.000157, # ZDD nodes = 98, # elems = 19
Step 32 time = 0.000152, # ZDD nodes = 112, # elems = 24
Step 33 time = 0.000161, # ZDD nodes = 120, # elems = 26
Step 34 time = 0.000204, # ZDD nodes = 124, # elems = 23
Step 35 time = 0.000130, # ZDD nodes = 118, # elems = 16
Step 36 time = 0.000147, # ZDD nodes = 100, # elems = 9
Step 37 time = 0.000108, # ZDD nodes = 85, # elems = 5
Step 38 time = 0.000090, # ZDD nodes = 78, # elems = 4
